Date,Close
7-May-2015,78.43
8-May-2015,78.51
11-May-2015,78.01
12-May-2015,77.46
13-May-2015,78.44
14-May-2015,81.37
15-May-2015,80.42
18-May-2015,80.88
19-May-2015,80.63
20-May-2015,80.55
21-May-2015,80.48
22-May-2015,80.54
26-May-2015,79.33
27-May-2015,80.55
28-May-2015,80.15
29-May-2015,79.19
1-Jun-2015,80.29
2-Jun-2015,80.44
3-Jun-2015,82.44
4-Jun-2015,82.05
5-Jun-2015,82.14
8-Jun-2015,80.67
9-Jun-2015,80.67
10-Jun-2015,82.16
11-Jun-2015,81.83
12-Jun-2015,81.53
15-Jun-2015,80.71
16-Jun-2015,81.06
17-Jun-2015,81.79
18-Jun-2015,82.91
19-Jun-2015,82.51
22-Jun-2015,84.74
23-Jun-2015,87.88
24-Jun-2015,88.86
25-Jun-2015,87.98
26-Jun-2015,88.01
29-Jun-2015,85.8
30-Jun-2015,85.77
1-Jul-2015,86.91
2-Jul-2015,87.29
6-Jul-2015,87.55
7-Jul-2015,87.22
8-Jul-2015,85.65
9-Jul-2015,85.88
10-Jul-2015,87.95
13-Jul-2015,90.1
14-Jul-2015,89.68
15-Jul-2015,89.76
16-Jul-2015,90.85
17-Jul-2015,94.97
20-Jul-2015,97.91
21-Jul-2015,98.39
22-Jul-2015,97.04
23-Jul-2015,95.44
24-Jul-2015,96.95
27-Jul-2015,94.17
28-Jul-2015,95.29
29-Jul-2015,96.99
30-Jul-2015,95.21
31-Jul-2015,94.01
3-Aug-2015,94.14
4-Aug-2015,94.06
5-Aug-2015,96.44
6-Aug-2015,95.12
7-Aug-2015,94.3
10-Aug-2015,94.15
11-Aug-2015,93.62
12-Aug-2015,94.19
13-Aug-2015,93.43
14-Aug-2015,94.42
17-Aug-2015,93.93
18-Aug-2015,95.17
19-Aug-2015,95.31
20-Aug-2015,90.56
21-Aug-2015,86.06
24-Aug-2015,82.09
25-Aug-2015,83
26-Aug-2015,87.19
27-Aug-2015,89.73
28-Aug-2015,91.01
31-Aug-2015,89.43
1-Sep-2015,87.23
2-Sep-2015,89.89
3-Sep-2015,88.15
4-Sep-2015,88.26
8-Sep-2015,89.53
9-Sep-2015,90.44
10-Sep-2015,91.98
11-Sep-2015,92.05
14-Sep-2015,92.31
15-Sep-2015,92.9
16-Sep-2015,93.45
17-Sep-2015,94.34
18-Sep-2015,94.4
21-Sep-2015,95.55
22-Sep-2015,92.96
23-Sep-2015,93.97
24-Sep-2015,94.41
25-Sep-2015,92.77
28-Sep-2015,89.21
29-Sep-2015,86.67
30-Sep-2015,89.9
1-Oct-2015,90.95
2-Oct-2015,92.07
5-Oct-2015,94.01
6-Oct-2015,92.8
7-Oct-2015,92.4
8-Oct-2015,92.47
9-Oct-2015,93.24
12-Oct-2015,94.26
13-Oct-2015,94.12
14-Oct-2015,94.07
15-Oct-2015,95.96
16-Oct-2015,97.54
19-Oct-2015,98.47
20-Oct-2015,97
21-Oct-2015,97.11
22-Oct-2015,99.67
23-Oct-2015,102.19
26-Oct-2015,103.77
27-Oct-2015,103.7
28-Oct-2015,104.2
29-Oct-2015,104.88
30-Oct-2015,101.97
2-Nov-2015,103.31
3-Nov-2015,102.58
4-Nov-2015,103.94
5-Nov-2015,108.76
6-Nov-2015,107.1
9-Nov-2015,106.49
10-Nov-2015,107.91
11-Nov-2015,109.01
12-Nov-2015,108.02
13-Nov-2015,103.95
16-Nov-2015,104.04
17-Nov-2015,105.13
18-Nov-2015,107.77
19-Nov-2015,106.26
20-Nov-2015,107.32
23-Nov-2015,106.95
24-Nov-2015,105.74
25-Nov-2015,105.41
27-Nov-2015,105.45
30-Nov-2015,104.24
1-Dec-2015,107.12
2-Dec-2015,106.07
3-Dec-2015,104.38
4-Dec-2015,106.18
7-Dec-2015,105.61
8-Dec-2015,106.49
9-Dec-2015,104.6
10-Dec-2015,105.42
11-Dec-2015,102.12
14-Dec-2015,104.66
15-Dec-2015,104.55
16-Dec-2015,106.79
17-Dec-2015,106.22
18-Dec-2015,104.04
21-Dec-2015,104.77
22-Dec-2015,105.51
23-Dec-2015,104.63
24-Dec-2015,105.02
28-Dec-2015,105.93
29-Dec-2015,107.26
30-Dec-2015,106.22
31-Dec-2015,104.66
4-Jan-2016,102.22
5-Jan-2016,102.73
6-Jan-2016,102.97
7-Jan-2016,97.92
8-Jan-2016,97.33
11-Jan-2016,97.51
12-Jan-2016,99.37
13-Jan-2016,95.44
14-Jan-2016,98.37
15-Jan-2016,94.97
19-Jan-2016,95.26
20-Jan-2016,94.35
21-Jan-2016,94.16
22-Jan-2016,97.94
25-Jan-2016,97.01
26-Jan-2016,97.34
27-Jan-2016,94.45
28-Jan-2016,109.11
29-Jan-2016,112.21
1-Feb-2016,115.09
2-Feb-2016,114.61
3-Feb-2016,112.69
4-Feb-2016,110.49
5-Feb-2016,104.07
8-Feb-2016,99.75
9-Feb-2016,99.54
10-Feb-2016,101
11-Feb-2016,101.91
12-Feb-2016,102.01
16-Feb-2016,101.61
17-Feb-2016,105.2
18-Feb-2016,103.47
19-Feb-2016,104.57
22-Feb-2016,107.16
23-Feb-2016,105.46
24-Feb-2016,106.88
25-Feb-2016,108.07
26-Feb-2016,107.92
29-Feb-2016,106.92
1-Mar-2016,109.82
2-Mar-2016,109.95
3-Mar-2016,109.58
4-Mar-2016,108.39
7-Mar-2016,105.73
8-Mar-2016,105.93
9-Mar-2016,107.51
10-Mar-2016,107.32
11-Mar-2016,109.41
14-Mar-2016,109.89
15-Mar-2016,110.67
16-Mar-2016,112.18
17-Mar-2016,111.02
18-Mar-2016,111.45
21-Mar-2016,111.85
22-Mar-2016,112.25
23-Mar-2016,112.54
24-Mar-2016,113.05
28-Mar-2016,113.69
29-Mar-2016,116.14
30-Mar-2016,114.7
31-Mar-2016,114.1
1-Apr-2016,116.06
4-Apr-2016,112.55
5-Apr-2016,112.22
6-Apr-2016,113.71
7-Apr-2016,113.64
8-Apr-2016,110.63
11-Apr-2016,108.99
12-Apr-2016,110.61
13-Apr-2016,110.51
14-Apr-2016,110.84
15-Apr-2016,109.64
18-Apr-2016,110.45
19-Apr-2016,112.29
20-Apr-2016,112.42
21-Apr-2016,113.44
22-Apr-2016,110.56
25-Apr-2016,110.1
26-Apr-2016,108.76
27-Apr-2016,108.89
28-Apr-2016,116.73
29-Apr-2016,117.58
2-May-2016,118.57
3-May-2016,117.43
4-May-2016,118.06
5-May-2016,117.81
6-May-2016,119.49
9-May-2016,119.24
10-May-2016,120.5
11-May-2016,119.52
12-May-2016,120.28
13-May-2016,119.81
16-May-2016,118.67
17-May-2016,117.35
18-May-2016,117.65
19-May-2016,116.81
20-May-2016,117.35
23-May-2016,115.97
24-May-2016,117.7
25-May-2016,117.89
26-May-2016,119.47
27-May-2016,119.38
31-May-2016,118.81
1-Jun-2016,118.78
2-Jun-2016,118.93
3-Jun-2016,118.47
6-Jun-2016,118.79
7-Jun-2016,117.76
8-Jun-2016,118.39
9-Jun-2016,118.56
10-Jun-2016,116.62
13-Jun-2016,113.95
14-Jun-2016,114.94
15-Jun-2016,114.6
16-Jun-2016,114.39
17-Jun-2016,113.02
20-Jun-2016,113.37
21-Jun-2016,114.38
22-Jun-2016,113.91
23-Jun-2016,115.08
24-Jun-2016,112.08
27-Jun-2016,108.97
28-Jun-2016,112.7
29-Jun-2016,114.16
30-Jun-2016,114.28
1-Jul-2016,114.19
5-Jul-2016,114
6-Jul-2016,116.7
7-Jul-2016,115.85
8-Jul-2016,117.24
11-Jul-2016,117.87
12-Jul-2016,117.93
13-Jul-2016,116.78
14-Jul-2016,117.29
15-Jul-2016,116.86
18-Jul-2016,119.37
19-Jul-2016,120.61
20-Jul-2016,121.92
21-Jul-2016,120.61
22-Jul-2016,121
25-Jul-2016,121.63
26-Jul-2016,121.22
27-Jul-2016,123.34
28-Jul-2016,125
29-Jul-2016,123.94
1-Aug-2016,124.31
2-Aug-2016,123.09
3-Aug-2016,122.51
4-Aug-2016,124.36
5-Aug-2016,125.15
8-Aug-2016,125.26
9-Aug-2016,125.06
10-Aug-2016,124.88
11-Aug-2016,124.9
12-Aug-2016,124.88
15-Aug-2016,123.9
16-Aug-2016,123.3
17-Aug-2016,124.37
18-Aug-2016,123.91
19-Aug-2016,123.56
22-Aug-2016,124.15
23-Aug-2016,124.37
24-Aug-2016,123.48
25-Aug-2016,123.89
26-Aug-2016,124.96
29-Aug-2016,126.54
30-Aug-2016,125.84
31-Aug-2016,126.12
1-Sep-2016,126.17
2-Sep-2016,126.51
6-Sep-2016,129.73
7-Sep-2016,131.05
8-Sep-2016,130.27
9-Sep-2016,127.1
12-Sep-2016,128.69
13-Sep-2016,127.21
14-Sep-2016,127.77
15-Sep-2016,128.35
16-Sep-2016,129.07
19-Sep-2016,128.65
20-Sep-2016,128.64
21-Sep-2016,129.94
22-Sep-2016,130.08
23-Sep-2016,127.96
26-Sep-2016,127.31
27-Sep-2016,128.69
28-Sep-2016,129.23
29-Sep-2016,128.09
30-Sep-2016,128.27
3-Oct-2016,128.77
4-Oct-2016,128.19
5-Oct-2016,128.47
6-Oct-2016,128.74
7-Oct-2016,128.99
10-Oct-2016,130.24
11-Oct-2016,128.88
12-Oct-2016,129.05
13-Oct-2016,127.82
14-Oct-2016,127.88
17-Oct-2016,127.54
18-Oct-2016,128.57
19-Oct-2016,130.11
20-Oct-2016,130
21-Oct-2016,132.07
24-Oct-2016,133.28
25-Oct-2016,132.29
26-Oct-2016,131.04
27-Oct-2016,129.69
28-Oct-2016,131.29
31-Oct-2016,130.99
1-Nov-2016,129.5
2-Nov-2016,127.17
3-Nov-2016,120
4-Nov-2016,120.75
7-Nov-2016,122.15
8-Nov-2016,124.22
9-Nov-2016,123.18
10-Nov-2016,120.8
11-Nov-2016,119.02
14-Nov-2016,115.08
15-Nov-2016,117.2
16-Nov-2016,116.34
17-Nov-2016,117.79
18-Nov-2016,117.02
21-Nov-2016,121.77
22-Nov-2016,121.47
23-Nov-2016,120.84
25-Nov-2016,120.38
28-Nov-2016,120.41
29-Nov-2016,120.87
30-Nov-2016,118.42
1-Dec-2016,115.1
2-Dec-2016,115.4
5-Dec-2016,117.43
6-Dec-2016,117.31
7-Dec-2016,117.95
8-Dec-2016,118.91
9-Dec-2016,119.68
12-Dec-2016,117.77
13-Dec-2016,120.31
14-Dec-2016,120.21
15-Dec-2016,120.57
16-Dec-2016,119.87
19-Dec-2016,119.24
20-Dec-2016,119.09
21-Dec-2016,119.04
22-Dec-2016,117.4
23-Dec-2016,117.27
27-Dec-2016,118.01
28-Dec-2016,116.92
29-Dec-2016,116.35
30-Dec-2016,115.05
3-Jan-2017,116.86
4-Jan-2017,118.69
5-Jan-2017,120.67
6-Jan-2017,123.41
9-Jan-2017,124.9
10-Jan-2017,124.35
11-Jan-2017,126.09
12-Jan-2017,126.62
13-Jan-2017,128.34
17-Jan-2017,127.87
18-Jan-2017,127.92
19-Jan-2017,127.55
20-Jan-2017,127.04
23-Jan-2017,128.93
24-Jan-2017,129.37
25-Jan-2017,131.48
26-Jan-2017,132.78
27-Jan-2017,132.18
30-Jan-2017,130.98
31-Jan-2017,130.32
1-Feb-2017,133.23
2-Feb-2017,130.84
3-Feb-2017,130.98
6-Feb-2017,132.06
7-Feb-2017,131.84
8-Feb-2017,134.2
9-Feb-2017,134.14
10-Feb-2017,134.19
13-Feb-2017,134.05
14-Feb-2017,133.85
15-Feb-2017,133.44
16-Feb-2017,133.84
17-Feb-2017,133.53
21-Feb-2017,133.72
22-Feb-2017,136.12
23-Feb-2017,135.36
